school_name,total_enrollment,percent_students_with_disabilities,percent_english_learners,percent_poverty
The Boerum Hill School for International Studies,525.2,20.28,11.12,68.56
The Bronx High School of Science,3007.2,1.1800000000000002,0.02,45.61999999999999
The Bronx Mathematics Preparatory School,258.4,30.380000000000006,13.78,98.0
The Bronx School of Young Leaders,396.4,23.48,20.08,80.41999999999999
The Bronxwood Preparatory Academy,413.0,22.940000000000005,7.0200000000000005,72.67999999999998
The Brooklyn Academy of Global Finance,134.6,28.860000000000007,10.28,78.98
"The Brooklyn New School, P.S. 146",665.4,30.24,2.82,28.24
The Brooklyn School for Math and Research,252.0,17.46,10.86,90.58
The Brooklyn School for Social Justice,391.8,20.3,25.2,71.62
The Children's Lab School,255.5,20.6,34.125,81.725
The Children's Workshop School,278.0,23.56,4.619999999999999,47.18
The Christa McAuliffe School\I.S. 187,950.4,9.02,2.66,63.96
The Cinema School,314.8,12.66,4.94,82.82000000000002
The College Academy,486.6,19.72,45.96,96.54
The Cultural Arts Academy at Spring Creek Charter,281.0,11.320000000000002,0.26,51.58
The Dr. Emmett W. Bassett School,978.6,14.82,25.32,75.02
The Eagle Academy for Young Men of Staten Island,158.5,34.3,4.65,76.325
The East Village Community School,299.4,21.78,1.0799999999999998,26.14
The Emerson School,280.4,26.58,8.8,79.78
The Equality Charter School,443.2,21.62,3.1,72.28
The Equity Project Charter School (TEP),552.8,20.22,23.58,90.46
The Ezra Jack Keats Pre-K Center,227.66666666666663,6.533333333333334,0.13333333333333333,58.03333333333334
The Family School,534.6,20.82,35.92,94.0
The Fresh Creek School,228.4,21.02,3.28,94.82
The Global Learning Collaborative,458.4,21.42,14.88,83.92
The Gordon Parks School,696.4,15.94,0.3,58.61999999999999
"The Gregory Jocko Jackson School of Sports, Art, a",526.4,27.360000000000007,9.52,94.68
The Harbor View School,181.0,21.44,0.16,62.42
The High School For Language And Diplomacy,393.4,17.119999999999994,12.54,82.28
"The High School for Enterprise, Business and Techn",947.2,17.86,8.68,78.9
The High School for Global Citizenship,228.8,17.28,14.66,90.46
The High School of Fashion Industries,1712.2,14.86,2.7,82.76
The Highbridge Green School,318.0,26.32,23.54,97.34
The Hunts Point School,327.2,30.059999999999995,24.76,92.42
The International Charter School of New York,206.0,11.766666666666666,2.066666666666667,30.73333333333333
The James J. Ambrose School,696.8,10.38,5.26,43.1
The Jermaine L. Green STEM Institute of Queens,579.4,19.74,3.74,81.84
The Joan Snow Pre-K Center,208.0,11.733333333333334,0.0,65.5
The Kathleen Grimm School for Leadership and Susta,143.0,18.2,2.7,27.9
The Laboratory School of Finance and Technology: X,585.8,21.52,8.499999999999998,97.16
The Lexington Academy,601.6,23.44,13.02,90.9
The Little Brooklyn Pre-K Center,159.33333333333334,5.366666666666667,0.0,50.36666666666667
The Longwood Academy of Discovery,465.4,28.84,24.9,89.22
"The Marie Curie School for Medicine, Nursing, and",549.6,19.92,10.66,68.85999999999999
The Math & Science Exploratory School,521.4,19.02,0.6199999999999999,19.9
The Matilda Avenue School,81.0,6.900000000000001,4.5,86.66666666666669
The Maurice Sendak Community School,212.2,12.14,0.42,9.48
The Maxine Greene HS for Imaginative Inquiry,425.6,22.380000000000006,12.4,81.46000000000002
The Metropolitan Soundview High School,401.8,23.0,13.24,94.34
The Michael J. Petrides School,1316.4,26.1,1.36,49.44000000000001
The Mott Hall School,283.0,12.48,2.8600000000000003,79.96
The New American Academy at Roberto Clemente State,622.8,21.46,15.800000000000002,92.4
The New School for Leadership and Journalism,758.0,24.72,21.78,95.06
The Opportunity Charter School,447.0,56.44,9.34,84.2
The Peck Slip School,276.2,16.56,3.3,8.920000000000002
"The Queens College School for Math, Science and Te",496.0,9.919999999999998,4.8,51.5
The Queens School for Leadership and Excellence,207.33333333333331,12.366666666666667,18.5,85.7
The Richard H. Hungerford School,424.8,99.86,11.7,71.28
The Richmond Pre-K Center,151.66666666666666,12.733333333333334,0.0,62.96666666666667
The River School,160.0,16.380000000000006,14.76,28.52
The Riverside School for Makers and Artists,479.6,28.559999999999995,8.16,76.52000000000002
The Riverview School,223.6,99.66,37.82000000000001,57.8
The SEEALL Academy,1143.2,15.24,25.6,87.7
The STAR Academy - P.S.63,196.8,33.04,2.9,82.68
The STEAM Bridge School,111.66666666666669,19.1,20.86666666666667,86.39999999999998
The School For Future Leaders,419.0,11.080000000000002,56.1,96.61999999999998
"The School for Classics: An Academy of Thinkers, W",304.4,21.64,15.24,87.08000000000001
The School for Inquiry and Social Justice,450.2,27.1,10.1,74.42
The School of Integrated Learning,229.0,26.78,8.72,91.94
The School of Science and Applied Learning,616.6,27.82,14.639999999999995,90.43999999999998
The Science And Medicine Middle School,445.2,18.68,2.32,77.46
The Stephanie A. Vierno School,700.4,22.06,11.32,64.34
The Uft Charter School,578.4,8.940000000000003,2.8200000000000003,85.0
The Urban Assembly Bronx Academy of Letters,591.4,27.22,13.46,91.48
The Urban Assembly School for Collaborative Health,189.75,13.975,16.1,77.15
The Urban Assembly School for Emergency Management,232.4,19.660000000000004,6.9,75.52
The Urban Assembly School for Global Commerce,188.6,28.24,8.3,83.22
The Urban Assembly School for Green Careers,342.2,26.52,15.74,89.16
The Urban Assembly School for Law and Justice,453.0,15.36,1.26,77.02000000000002
The Urban Assembly Unison School,153.4,25.92,11.8,88.52
The Vida Bogart School for All Children,496.0,99.84,17.92,80.3
The Walton Avenue School,406.4,22.559999999999995,29.36,96.68
The Williamsburg High School of Art and Technology,275.6,22.2,27.7,82.03999999999998
The Windsor Terrace School,534.2,17.880000000000006,5.26,16.299999999999994
The Woodside Community School,192.66666666666663,12.966666666666667,22.23333333333333,79.26666666666667
Theatre Arts Production Company School,613.2,22.9,5.98,73.76
Thomas A. Edison Career and Technical Education Hi,2124.2,11.94,1.58,79.0
Thomas C. Giordano Middle School 45,734.0,20.5,18.68,96.84
Thurgood Marshall Academy Lower School,220.8,16.22,1.36,84.76
Thurgood Marshall Academy for Learning and Social,556.2,17.580000000000002,2.46,74.36
Tompkins Square Middle School,372.6,26.24,3.4200000000000004,68.75999999999999
Tottenville High School,3913.0,17.16,0.98,32.22000000000001
Townsend Harris High School,1133.4,1.94,0.0,53.64
Transit Tech Career and Technical Education High S,966.8,23.5,4.98,74.14
Union Square Academy for Health Sciences,352.2,15.160000000000002,9.0,81.26
Unity Center for Urban Technologies,271.2,25.62,7.74,89.72
Unity Prep Charter School,309.2,22.78,4.14,80.22
University Heights Secondary School,478.4,13.2,2.58,89.61999999999998
University Neighborhood High School,360.6,19.94,16.000000000000004,89.12
University Neighborhood Middle School,146.6,39.74,13.3,88.76
University Prep Charter High School,393.6,16.119999999999994,9.88,88.63999999999999
Urban Academy Laboratory High School,161.2,8.040000000000001,0.5,52.72000000000001
Urban Action Academy,300.4,20.46,12.919999999999998,75.8
Urban Assembly Academy for Future Leaders,180.6,34.84,7.76,86.0
"Urban Assembly Academy of Government and Law, The",321.8,21.02,4.54,82.72
Urban Assembly Gateway School for Technology,444.8,19.5,2.84,64.96
Urban Assembly Institute of Math and Science for Y,484.2,17.200000000000006,5.0,83.5
Urban Assembly Maker Academy,244.5,12.15,3.875,77.45
Urban Assembly New York Harbor School,460.4,21.68,2.56,60.84
Urban Assembly School for Applied Math and Science,619.4,24.36,11.24,93.92
Urban Assembly School for Criminal Justice,524.8,14.580000000000002,12.28,92.64
"Urban Assembly School for Media Studies, The",401.4,18.92,8.620000000000001,78.25999999999998
Urban Assembly School for Music and Art,320.6,23.360000000000007,2.26,83.7
Urban Assembly School for Wildlife Conservation,551.4,25.16,11.28,75.96000000000002
Urban Assembly School for the Performing Arts,351.6,21.64,6.76,86.76
"Urban Assembly School of Business for Young Women,",336.6,17.860000000000007,4.4,82.4
"Urban Assembly School of Design and Construction,",397.6,21.92,8.92,81.08
Urban Dove Charter School,249.6,37.06,3.4799999999999995,77.96
Urban Institute of Mathematics,311.4,21.34,4.540000000000001,76.32000000000002
Urban Scholars Community School,296.8,24.58,14.3,96.64
Urban Science Academy,316.8,24.08,34.620000000000005,81.25999999999998
VOICE Charter School of New York,620.8,15.660000000000002,16.82,79.5
VOYAGES Preparatory,237.6,6.459999999999999,1.26,72.16
Validus Preparatory Academy,382.4,24.82,14.88,87.14000000000001
Van Siclen Community Middle School,247.2,30.56,14.14,89.17999999999998
Vanguard High School,464.2,22.58,5.700000000000001,76.74
Veritas Academy,382.8,17.919999999999995,9.48,76.02000000000002
Victory Collegiate High School,348.6,21.98,2.56,74.22
Village Academy,326.4,24.1,15.94,72.64
Vista Academy,298.6,20.4,12.48,95.26
Voyages Prep - South Queens,247.2,5.2200000000000015,0.5,77.98
W. H. Maxwell Career and Technical Education High,467.8,30.98,7.2200000000000015,88.44000000000003
W.E.B. Dubois Academic High School,121.4,15.32,0.8399999999999999,78.47999999999998
WHIN Music Community,78.0,23.1,14.1,61.5
Wadleigh Secondary School for the Performing & Vis,388.0,23.66,4.2799999999999985,71.8
Washington Heights Academy,508.6,13.96,16.9,88.82
Washington Heights Expeditionary Learning School,747.2,20.32,16.8,75.52
Waterside Children's Studio School,476.6,19.72,10.72,78.72
Waterside School For Leadership,209.0,32.34,7.1400000000000015,88.44000000000003
Wave Preparatory Elementary School,492.6,18.18,20.9,90.9
West Bronx Academy for the Future,601.6,26.12,12.2,94.8
West Brooklyn Community High School,217.0,27.319999999999997,5.12,72.4
West End Secondary School,238.33333333333331,22.76666666666667,1.6000000000000003,19.8
West Prep Academy,200.6,29.440000000000005,6.3599999999999985,72.08
Westchester Square Academy,477.0,22.64,7.019999999999999,72.3
William Cullen Bryant High School,2468.0,13.539999999999996,15.54,77.94
William E. Grady Career and Technical Education Hi,559.0,31.46,6.539999999999999,86.33999999999997
Williamsburg Charter High School,964.8,15.16,5.540000000000001,83.5
Williamsburg Collegiate Charter School,439.4,15.9,4.88,83.35999999999999
Williamsburg High School for Architecture and Desi,575.6,25.74,4.1,82.24000000000002
Williamsburg Preparatory School,679.0,16.639999999999993,3.3800000000000003,82.8
Wings Academy,503.0,24.96,4.04,84.70000000000002
Women's Academy of Excellence,332.8,21.18,10.58,89.97999999999998
World Academy for Total Community Health High Scho,270.4,20.08,9.76,86.6
World Journalism Preparatory: A College Board Scho,589.8,20.2,0.8,51.2
World View High School,295.4,19.82,32.58,88.53999999999998
York Early College Academy,618.0,9.12,0.8400000000000001,76.0
Yorkville Community School,531.4,18.24,5.76,39.62
Yorkville East Middle School,161.0,28.15,2.025,33.974999999999994
Young Leaders Elementary School,267.0,32.12,43.46,98.38
Young Voices Academy of the Bronx,223.0,13.38,18.800000000000004,85.83999999999997
Young Women's Leadership School,479.6,18.6,2.3,81.12
Young Women's Leadership School of Brooklyn,381.2,16.759999999999998,4.3,78.25999999999998
Young Women's Leadership School of the Bronx,326.0,17.639999999999993,5.4,89.16
"Young Women's Leadership School, Astoria",566.4,10.6,3.62,83.6
"Young Women's Leadership School, Queens",558.6,13.6,1.8,71.97999999999998
